panel_year,eis_number,lead_agency,naics_code,cost_m_usd_nominal,funding_source,funding_source_basis,title
2018,20180032,FTA,485,945,gov_state_local,agency default (FTA),"West Lake Corridor Project Final Environmental Impact Statement/Record of Decision and Section 4(f) Evaluation. Under 23 U.S.C. 139(n)(2), FTA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Contact: Mark Assam 206-220-4465."
2018,20130018,BIA,713210,400,tribal,agency default (BIA),"ADOPTION--Spokane Tribe of Indians West Plains Casino and Mixed-Use Development Project Approval of Gaming Development and Management Spokane County WA, Contact: Esther Dittler 202-632-7003 The National Indian Gaming Commission (NIGC) has adopted the Bureau of Indian Affairs' (BIA) Spokane Tribe of Indians West Plains Casino and Mixed-Use Development Project Approval of Gaming Development and Management Spokane County WA EIS. BIA filed its Final EIS with EPA on January 25, 2013; it was published in the Federal Register on February 1, 2013. The comment period was extended from March 4, 2013 to May 1, 2013. The NIGC was a cooperating agency on the project and recirculation of the document is not necessary under Section 1506.3(c) of the Council of Environmental Quality National Environmental Policy Act (NEPA) Regulations. Dated: March 13, 2018. Kelly Knight, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2018-05393 Filed 3-15-18; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2018,20180039,FHWA,237310,350,gov_state_local,agency default (FHWA),Sterling Highway Milepost 45-60
2018,20180056,FHWA,237310,1900,gov_state_local,override: Seattle Convention Center <e2><80><94> King County + WA state,"Washington State Convention Center Addition and King County Site Work, under 23 U.S.C. 139(n)(2), FTA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action.'' Contact: Sharon P. Love (360) 753-9558."
2018,20180065,TVA,212,200,gov_federal,agency default (TVA),"Cumberland Fossil Plant Coal Combustion Residuals Management Operations, Review Period Ends: 05/21/ 2018, Contact: Ashley Pilakowski 865-632-2256"
2018,20180075,BR,2213,1400,gov_state_local,override: Pure Water SD <e2><80><94> City of San Diego utility,"Pure Water San Diego Program, North City Project"
2018,20180093,USFS,2211,0,private,agency default (USFS),"Santa Fe National Forest Geothermal Leasing Final Environmental Impact Statement, Comment Period Ends: 06/ 11/2018, Contact: Larry Gore 575-289-3264."
2018,20180128,USFS,713,35,private,agency default (USFS),Steamboat Ski Area Improvements
2018,20180129,FTA,485,300,gov_state_local,agency default (FTA),"Geary Corridor Bus Rapid Transit Project, Under 23 U.S.C. 139(n)(2), FTA has issued a single document that consists of a final environmental impact statement and record of [[Page 27984]] decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Contact: Alex Smith 415-734-9472"
2018,20180135,USAF,481,200,gov_federal,agency default (USAF),KC-46A Main Operating Base #4 (MOB 4) Beddown
2018,20180137,BLM,212,1500,private,agency default (BLM),Normally Pressured Lance Natural Gas Development Project
2018,20180139,USFS,2211,80,private,agency default (USFS),Bordertown to California 120kV Transmission Line
2018,20180144,FERC,486,300,private,agency default (FERC),Midcontinent Supply Header Interstate Pipeline Project
2018,20180145,FHWA,237310,500,gov_state_local,agency default (FHWA),Pyramid Highway/US 395 Connection
2018,20180169,BLM,212,150,private,agency default (BLM),Gold Rock Mine Project
2018,20180175,FERC,2211,30,private,agency default (FERC),Lassen Lodge Final Environmental Impact Statement
2018,20180202,FAA,481,250,gov_state_local,agency default (FAA),Tucson International Airport-- Airfield Safety Enhancement Project
2018,20180219,USACE,2213,400,mixed,USACE civil works (mixed with sponsor share),Delta Islands and Levees Integrated Feasibility Study and Environmental Impact Study
2018,20180237,USACE,2213,80,gov_federal,override: Winslow flood <e2><80><94> primarily federal,"Little Colorado River at Winslow, Navajo County, Arizona, Flood Risk Management Project, Integrated Feasibility Report and Environmental Impact Statement"
2018,20180238,FHWA,237310,250,gov_state_local,agency default (FHWA),"S.R. 30, S.R. 23 to 1000 West, Contact: Naomi Kisen 801-965-4005 Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2018,20180241,FAA,481,0,gov_state_local,agency default (FAA),"ADOPTION--Modernization and Enhancement of Ranges Airspace and Training Areas in the Joint Pacific Alaska Range Complex in Alaska, Contact: Paula Miller 202-267-7378 The Federal Aviation Administration (FAA) has adopted the U.S. Air Force's Final"
2018,20180242,FAA,481,0,gov_federal,title hint: military,"ADOPTION--Proposed Modernization and Expansion of Townsend Bombing Range, Contact: Paula Miller 202-267-7378 The Federal Aviation Administration (FAA) has adopted the U.S. Department of Navy's Final"
2018,20180252,FHWA,237310,90,gov_state_local,agency default (FHWA),U.S. 50/South Shore Community Revitalization Project
2018,20180258,FERC,2211,4500,private,agency default (FERC),Calcasieu Pass Project
2018,20180265,DOE,9281,0,private,agency default (DOE),"ADOPTION--Calcasieu Pass Project, Contact: Brian Lavoie 202-586-2459 The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2018,20180287,UDOT,237310,25,gov_state_local,agency default (UDOT),"I-15, Payson Main Street Interchange"
2018,20180300,USACE,2213,130,mixed,USACE civil works (mixed with sponsor share),Upper Llagas Creek Flood Protection Project
2018,20180305,FTA,485,1100,gov_state_local,agency default (FTA),DART Cotton Belt Corridor Regional Rail Project
2018,20180311,FAA,485,0,gov_state_local,agency default (FAA),"ADOPTION--DART Cotton Belt Corridor Regional Rail Project, Contact: John MacFarlane 817-222-5681 The Federal Aviation Administration (FAA) has adopted the Federal Transit Administration's Final"
2018,20180321,DOE,9281,600,gov_federal,override: Santa Susana Field Lab <e2><80><94> DOE/Boeing remediation,Remediation of Area IV and the Northern Buffer Zone of the Santa Susana Field Laboratory
2018,20180059,WAPA,2211,500,mixed,agency default (WAPA),"Estes to Flatiron Transmission Lines Rebuild Project Larimer County, Colorado Final Environmental Impact Statement (DOE/EIS-0483)"
2018,20180067,USACE,212,7400,private,title hint: private extractive/energy,Donlin Gold Project
2018,20180204,USACE,212,300,private,title hint: private extractive/energy,Ray Mine Tailings Storage Facility
2018,20180209,GSA,999,500,gov_federal,agency default (GSA),2018 Master Plan for the Consolidation of the U.S. FDA HQ Final Environmental Impact Statement
2018,20180211,NIGC,999,0,tribal,agency default (NIGC),ADOPTION--Wilton Rancheria
2018,20180288,OSM,212,100,private,title hint: private extractive/energy,Western Energy Company's Rosebud Mine Area F
2018,20180043,USACE,2213,35,gov_federal,agency default (USACE),"Holden Beach East End Shore Protection Project, Review Period [[Page 12754]] Ends: 04/23/2018, Contact: Mickey Sugg 910-251-4811"
2018,20180196,BLM,211,1400,private,agency default (BLM),Alpine Satellite Development Plan for the Proposed Greater Mooses Tooth 2 Development Project
2018,20180251,HUD,236,244,mixed,agency default (HUD),Rebuild by Design (RBD) Meadowlands Flood Control Project
2018,20180275,USACE,2213,1600,gov_federal,agency default (USACE),Final Integrated City of Norfolk Coastal Storm Risk Management Feasibility Study
2018,20180310,BLM,486,400,private,agency default (BLM),Riley Ridge to Natrona
2018,20180320,BLM,212,46,private,agency default (BLM),Lost Creek Uranium In-Situ Recover Project Modifications
2019,20180331,FERC,2211,4000,private,agency default (FERC),Driftwood LNG Project
2019,20180332,FERC,2211,30,private,agency default (FERC),Yuba River Development Project
2019,20180333,FERC,2211,2000,private,override: Swan Lake North Pumped Storage <e2><80><94> Rye Development private,Swan Lake North Pumped Storage Project
2019,20180334,FERC,2211,926,private,agency default (FERC),Northeast Supply Enhancement Project
2019,20190001,DOE,9281,0,private,agency default (DOE),"ADOPTION--Driftwood LNG Project, Contact: Brian Lavoie 202-586-2459 The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190003,FERC,488,13000,private,agency default (FERC),"Port Arthur Liquefaction Project, Texas Connector Project, and Louisiana Connector Project"
2019,20190010,USFS,713,30,private,agency default (USFS),Crested Butte Mountain Resort Ski Area Projects
2019,20190013,DOE,488,0,private,agency default (DOE),"ADOPTION--Port Arthur Liquefaction Project, Texas Connector Project, and Louisiana Connector Project, Contact: Brian Lavoie 202-586-2459 The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190017,GSA,236,675,gov_federal,override: GSA Otay Mesa LPOE <e2><80><94> federal MILCON-style funding,Otay Mesa Land Port of Entry Modernization and Expansion
2019,20190024,BR,2213,400,gov_federal,agency default (BR),"Kachess Drought Relief Pumping Plant and Keechelus Reservoir-to-Kachess Reservoir Conveyance Projects Final Environmental Impact Statement, Kittitas and Yakima Counties, Washington"
2019,20190026,FHWA,237310,190,gov_state_local,agency default (FHWA),"U.S. Highway 85--I-94 Interchange to Watford City Bypass, Contact: Kevin Brodie 701-221-9467 Under 23 U.S.C. 139(n)(2), FHWA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2019,20190034,FERC,2211,4500,private,agency default (FERC),Texas LNG Project-Texas LNG Brownsville LLC
2019,20190037,FHWA,237310,500,gov_state_local,agency default (FHWA),"I-4400/I-4700 I-26 Widening Combined Final Environmental Impact Statement, Final Section 4(f) Evaluation, and Record of Decision, Contact: Clarence W. Coleman, PE 919-747-7014. Under 23 U.S.C. 139(n)(2), FHWA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2019,20190041,DOE,9281,0,private,agency default (DOE),"ADOPTION--Texas LNG Project-Texas LNG Brownsville LLC, Contact: Brian Lavoie 202-586-2459. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190044,BLM,212,383,private,agency default (BLM),Copper Flat Copper Mine
2019,20190058,FHWA,237310,1700,gov_state_local,agency default (FHWA),"Hunts Point Interstate Access Improvement Project, Contact: Erik Koester--NYSDOT Project Director 718-482-4683. Under 23 U.S.C. 139(n)(2), FHWA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2019,20190062,FERC,2211,720,private,agency default (FERC),"Eagle LNG Partners Jacksonville, LLC Jacksonville Project"
2019,20190065,FERC,2211,9000,private,agency default (FERC),Gulf LNG Liquefaction Project
2019,20190069,FERC,2211,1700,private,agency default (FERC),Annova LNG Brownsville Project
2019,20190070,USFS,486,30,private,agency default (USFS),Crow Creek Pipeline Project
2019,20190072,DOE,9281,0,private,agency default (DOE),"Adoption--Eagle LNG Partners Jacksonville, LLC Jacksonville Project, Contact: Brian Lavoie 202-586- 2459. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190078,FHWA,237310,100,gov_state_local,agency default (FHWA),US 340 Improvement Study
2019,20190079,FERC,2211,18000,private,agency default (FERC),Rio Grande LNG Project
2019,20190083,DOE,9281,0,private,agency default (DOE),"Adoption--Gulf LNG Liquefaction Project, Review Period, Contact: Brian Lavoie 202-586-2459. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190084,DOE,9281,0,private,agency default (DOE),"Adoption--Annova LNG Brownsville Project, Contact: Brian Lavoie 202-586-2459. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190085,FERC,2211,45,private,agency default (FERC),Grant Lake Hydroelectric Project
2019,20190090,BR,2213,0,mixed,BR water infra (mixed with sponsor share),"Central Valley Project Water Supply Contracts Under Public Law 101-514 (Section 206): Contract Between the U.S. Bureau of Reclamation and the El Dorado County Water Agency, Subcontract Between the El Dorado County Water Agency and the El Dorado Irrigation District, and Subcontract Between the El Dorado County Water Agency and the Georgetown Divide Public Utility District"
2019,20190091,FERC,486,20000,private,agency default (FERC),Plaquemines LNG and Gator Express Pipeline Project
2019,20190095,FHWA,237310,2300,gov_state_local,agency default (FHWA),"Carolina Crossroads I-20/26/126 Corridor Improvement Project, Contact: Jeffrey S. Belcher 803-253-3187. Under 23 U.S.C. 139(n)(2), FHWA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Amended Notice"
2019,20190096,DOE,9281,0,private,agency default (DOE),"ADOPTION--Rio Grande LNG Project, Contact: Brian Lavoie 202-586-2459 The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190100,USFS,713,24,private,agency default (USFS),Mt. Rose Ski Tahoe Atoma Area Expansion
2019,20190103,BLM,212,300,private,agency default (BLM),Caldwell Canyon Mine and Reclamation Plan
2019,20190114,DOE,486,0,private,agency default (DOE),"ADOPTION--Plaquemines LNG and Gator Express Pipeline Project, Contact: Brian Lavoie 202-586.-2459. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2019,20190116,FRA,482,5000,mixed,override: DC-Richmond HSR <e2><80><94> VPRA state + federal,DC to Richmond Southeast High Speed Rail
2019,20190120,BIA,713210,405,tribal,agency default (BIA),Beloit Fee-to-Trust and Casino Project
2019,20190121,BIA,713210,250,tribal,agency default (BIA),"Tule River Indian Tribe Fee-to-Trust and Eagle Mountain Casino Relocation Project, Review Period Ends: 07/ 01/2019, Contact: Chad Broussard 916-978-6165."
2019,20190129,BLM,212,50,private,agency default (BLM),Rossi Mine Expansion Project
2019,20190131,BLM,212,50,private,agency default (BLM),Gemfield Mine Project
2019,20190144,FHWA,237310,80,gov_state_local,agency default (FHWA),Little Missouri River Crossing
2019,20190152,BLM,2211,0,private,agency default (BLM),Adoption--Swan Lake North Pumped Storage Project
2019,20190153,TVA,2211,0,gov_federal,agency default (TVA),2019 Integrated Resource Plan Final Environmental Impact Statement
2019,20190156,VA,485,0,gov_state_local,title hint: transit (state/local pays),"Adoption--Westside Subway Extension Transit Corridor Project Extension of the Existing Metro Purple Line and Metro Red Line Heavy Rail Subway Los Angeles County Metropolitan Transportation Authority Los Angeles County CA, Review Period Ends: 08/ 05/2019, Contact: Glenn Elliott 202-632-5879. The U.S. Department of Veterans Affairs (VA) has adopted the Federal Transit Administration Final"
2019,20190165,BR,2211,0,private,title hint: private extractive/energy,ADOPTION--Swan Lake North Pumped Storage Project
2019,20190167,BLM,212,300,private,agency default (BLM),Deep South Expansion Project
2019,20190175,USACE,2213,185,mixed,USACE civil works (mixed with sponsor share),"Gulf Intracoastal Waterway, Brazos River Floodgates and Colorado River Locks, Texas"
2019,20190197,FHWA,237310,182,gov_state_local,agency default (FHWA),"Interstate 80/Interstate 580/US Highway 395 Freeway-to-Freeway Interchange and Connecting Road Improvements, Contact: Abdelmoez Abdalla 775-687-1231, Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a combined FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2019,20190199,FHWA,237310,3500,gov_state_local,agency default (FHWA),"Project No. DPI-0030(005), I-10 Mobile River Bridge and Bayway, Mobile and Baldwin Counties, Alabama, Contact: Mr. Mark D. Barlett, P.E. 334-274-6350, Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a combined FEIS and ROD. Therefore, the 30- day wait/review period under NEPA does not apply to this action."
2019,20190202,FAA,481,0,gov_state_local,agency default (FAA),"Adoption--Modernization and Enhancement of Ranges, Airspace, and Training Areas in the Joint Pacific Alaska Range Complex in Alaska, Contact: Paula Miller 202-267- 7378. The U.S. Department of Transportation's Federal Aviation Administration (FAA) has adopted the portions specific to Battle Area Complex Restricted Area R-2201 and the Expand Restricted Area R-2205, including the Digital Multi-Purpose Training Range, of the Departments of Army and the Air Force's Final"
2019,20190203,FHWA,481,1220,gov_state_local,agency default (FHWA),"Van Wyck Expressway Capacity and Access Improvements to JFK Airport Project, Contact: Glorimar Reyes, Project Manager NYSDOT 718-482-7223, Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a combined FEIS and ROD. Therefore, the 30-day wait/ review period under NEPA does not apply to this action."
2019,20190207,USACE,488,350,mixed,override: Matagorda Ship Channel <e2><80><94> Calhoun Port Authority,"Matagorda Ship Channel, Port Lavaca, Texas"
2019,20190227,BLM,211,1000,private,agency default (BLM),Coastal Plain Oil and Gas Leasing Program
2019,20190233,BLM,2211,1000,private,agency default (BLM),Desert Quartzite Solar Project Final Plan Amendment/Environmental Impact Statement/Environmental Impact Report
2019,20190236,USACE,2213,490,mixed,override: Lake Ralph Hall <e2><80><94> UTRWD non-federal sponsor,Lake Ralph Hall Regional Water Supply Reservoir Project
2019,20150082,BR,2213,0,gov_federal,agency default (BR),"Long-term Water Transfers, Contact: Russ Grimes 916-978-5051. Revision to FR Notice Published 03/27/2015; Officially Withdrawn per request of the submitting agency. Dated: October 8, 2019. Cindy S. Barger, Acting Director, Office of Federal Activities. [FR Doc. 2019-22293 Filed 10-10-19; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2019,20190247,BR,2213,0,gov_federal,agency default (BR),Long-Term Water Transfers
2019,20190249,FHWA,237310,0,gov_state_local,agency default (FHWA),"Salem River Crossing Project (OR99E- Business, OR22, OR221), Contact: Emily Cline 503-939-3742. Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a combined FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2019,20190257,RUS,2211,492,mixed,agency default (RUS),Cardinal-Hickory Creek 345-kV Transmission Line Project
2019,20190259,BR,2213,0,gov_federal,agency default (BR),Mendota Pool Group 20-Year Exchange Program
2019,20190271,USACE,2213,300,mixed,override: Lower Elkhorn Levee Setback <e2><80><94> DWR + USACE,Lower Elkhorn Basin Levee Setback Project
2019,20190275,USFS,113,65,private,agency default (USFS),Squaw Valley-Alpine Meadows Base-to- Base Gondola Project
2019,20190276,FERC,2211,10000,private,agency default (FERC),Jordan Cove Energy Project
2019,20190296,USFS,212,50,private,agency default (USFS),Omya Sentinel & Butterfield Quarries Expansion
2019,20190298,FDOT,237310,200,gov_state_local,agency default (FDOT),Gulf Coast Parkway
2019,20190300,BIA,2211,300,private,override: Eagle Shadow Mountain Solar <e2><80><94> Arevon (private utility-scale PV),Eagle Shadow Mountain Solar Project
2019,20190302,BLM,2211,1100,private,agency default (BLM),Gemini Solar Final Resource Plan Amendment and Final EIS
2019,20190023,OSM,212,50,private,title hint: private extractive/energy,San Juan Mine Deep Lease Extension Mining Plan Modification
2019,20190149,OSM,212,0,private,title hint: private extractive/energy,"Adoption--Alton Coal Tract Lease by Application, Contact: Gretchen Pinkham 303-293-5088. The Office of Surface Mining Reclamation and Enforcement (OSMRE) has adopted the U.S. Bureau of Land Management. Final"
2019,20190200,BR,2213,500,gov_federal,agency default (BR),B.F. Sisk Dam Safety of Dams Modification Project
2020,20200000,HCIDLA,999,110,gov_state_local,agency default (HCIDLA),Rose Hill Courts Redevelopment Project
2020,20200005,USN,236,100,gov_federal,agency default (USN),Fallon Range Training Complex Modernization
2020,20200007,USACE,488,50,gov_federal,agency default (USACE),Bayou Casotte Harbor Channel Improvement Project
2020,20200009,BLM,2211,1000,private,agency default (BLM),Haiwee Geothermal Leasing Area
2020,20200022,BIA,2211,500,private,override: Campo Wind <e2><80><94> Terra-Gen + Boulder Brush private wind,Final Environmental Impact Statement for the Campo Wind Project with Boulder Brush Facilities
2020,20200023,FERC,2211,20,private,agency default (FERC),Bucks Creek Hydropower Project
2020,20200024,FHWA,237310,1800,gov_state_local,agency default (FHWA),I-26 Asheville Connector
2020,20200026,USACE,488,1000,mixed,override: Houston Ship Channel <e2><80><94> Port + USACE cost share,Houston Ship Channel Expansion Channel Improvement Project
2020,20200038,FRA,482,25,gov_state_local,agency default (FRA),"Port Bienville Railroad Combined Final Environmental Impact Statement and Record of Decision, Contact: Kevin Wright 202-493-0845 Under 23 U.S.C. 139(n)(2), FRA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Dated: February 10, 2020. Cindy S. Barger, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2020-03027 Filed 2-13-20; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2020,20200039,DOE,9281,0,private,agency default (DOE),"ADOPTION--Jordan Cove Energy Project, Contact: Brian Lavoie 202-586-2459. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2020,20200041,FERC,2211,500,private,agency default (FERC),Southgate Project
2020,20200044,BLM,212,4250,private,agency default (BLM),Moneta Divide Natural Gas and Oil Development Project
2020,20200051,USAF,481,105,gov_federal,agency default (USAF),United States Air Force F-35A Operational Beddown Air National Guard
2020,20200056,USACE,488,200,gov_federal,agency default (USACE),"New Haven Harbor Connecticut, Navigation Improvement Project, Final Integrated Feasibility Report and Environmental Impact Statement"
2020,20200057,FHWA,237310,62,gov_state_local,agency default (FHWA),"I-93 Exit 4A, Contact: Jamison S. Sikora 603-410-4870, Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Dated: February 25, 2020. Cindy S. Barger, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2020-04107 Filed 2-27-20; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2020,20200062,USACE,2213,545,gov_federal,agency default (USACE),"Final Integrated General Reevaluation Report and Environmental Impact Statement San Francisco Bay to Stockton, California, Navigation Study, Review Period Ends: 04/ 06/2020, Contact: Paul DeMarco 904-232-1897. Amended Notice"
2020,20200065,TVA,2211,500,gov_federal,agency default (TVA),Allen Fossil Plant Ash Impoundment Closure
2020,20200066,FERC,2211,44000,private,agency default (FERC),Alaska LNG Project
2020,20200071,UDOT,237310,78,gov_state_local,agency default (UDOT),"I-15 Milepost 11 Interchange, Contact: Elisa Albury 801-834-5284. Pursuant to 23 U.S.C. 139(n)(2), UDOT has issued a single FEIS and ROD. Therefore, the 30-day wait/ review period under NEPA does not apply to this action. [[Page 17328]]"
2020,20200072,DOE,9281,0,private,agency default (DOE),"ADOPTION--Alaska LNG Project, Contact: Brian Lavoie 202-586-2489. The Department of Energy (DOE) has adopted the Federal Energy Regulatory Commission's Final"
2020,20200073,USACE,2213,100,mixed,USACE civil works (mixed with sponsor share),"Westchester County Streams, Byram River Basin Flood Risk Management Feasibility Study--Final Integrated Feasibility Report & Environmental Impact Statement"
2020,20200089,BLM,212,30,private,agency default (BLM),"Tucker Hill Perlite Mine Expansion Project Plan of Operations Amendment No. 7, Review Period Ends: 05/26/ 2020, Contact: Paul Whitman 541-947-6110."
2020,20200096,USACE,2213,200,mixed,USACE civil works (mixed with sponsor share),"Westminster, East Garden Grove, CA Flood Risk Management Study"
2020,20200097,FTA,485,546,gov_state_local,agency default (FTA),"NJ Transitgrid Traction Power System, Contact: Donald Burns 212-668-2203. Under 23 U.S.C. 139(n)(2), FTA has issued a single document that consists of a final environmental impact statement and a record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Amended Notice:"
2020,20200113,DOT,482,30000,mixed,title hint: HSR (mixed),Dallas to Houston High-Speed Rail
2020,20200140,FERC,2211,50,private,agency default (FERC),Don Pedro Hydroelectric Project and La Grange Hydroelectric Project
2020,20200143,USACE,488,100,mixed,USACE civil works (mixed with sponsor share),Chicago Area Waterway System Dredged Material Management Plan
2020,20200149,BLM,211,5000,private,agency default (BLM),Converse County Oil and Gas Project
2020,20200167,TVA,2211,899,gov_federal,agency default (TVA),Gallatin Impoundment Closure
2020,20200169,USAF,481,150,gov_federal,agency default (USAF),F-35A Operational Beddown--Air Force Reserve Command
2020,20200172,UDOT,237310,250,gov_state_local,agency default (UDOT),"Parley's Interchange; I-80/I-215 Eastside, Contact: Naomi Kisen 801-965-4000. Pursuant to 23 U.S.C. 139(n)(2), UDOT has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2020,20200178,BLM,2211,700,private,agency default (BLM),Yellow Pine Solar Project
2020,20200180,FRA,482,2300,gov_state_local,agency default (FRA),"Long Bridge Project, Contact: David Valenstein 202-493-6368. Under 23 U.S.C. 139(n)(2), FRA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action. Dated: September 4, 2020. Candi Schaedle, Acting Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2020-20063 Filed 9-10-20; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
2020,20200183,BR,2213,500,gov_federal,agency default (BR),Friant-Kern Canal Middle Reach Capacity Correction Project Final Environmental Impact Statement/ Environmental Impact Report
2020,20200193,BR,2213,35,gov_federal,agency default (BR),Truckee Canal Extraordinary Maintenance
2020,20200196,FTA,485,500,gov_state_local,agency default (FTA),Final Environmental Impact Statement/ Final Environmental Impact Report (Vol 1) for the East San Fernando Valley Transit Corridor Project
2020,20200197,TVA,212,50,private,title hint: private extractive/energy,"Sugar Camp Energy, LLC Mine Number 1 Boundary Revision 6"
2020,20200202,GSA,236,308,gov_federal,title hint: GSA LPOE,Expansion and Modernization of the San Luis I Land Port of Entry
2020,20200204,BIA,211,1000,tribal,agency default (BIA),Osage County Oil and Gas
2020,20200207,BIA,713210,600,tribal,agency default (BIA),Tejon Trust Acquisition and Casino Project
2020,20200209,BIA,713210,180,tribal,agency default (BIA),"Little River Band of Ottawa Indians, Michigan Trust Acquisition and Casino Project, Review Period Ends: 11/ 30/2020, Contact: Scott Doig 612-725-4514."
2020,20200213,FHWA,237310,1200,gov_state_local,agency default (FHWA),"South Bridge Connector, Brown County, Wisconsin, Tier I, Contact: Ian Chidister 608-829-7503. Pursuant to 23 U.S.C. 139(n)(2), FHWA has issued a single document that consists of a final environmental impact statement and record of decision. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2020,20200243,BR,2213,100,mixed,BR water infra (mixed with sponsor share),Eastern North Dakota Alternate Water Supply Project
2020,20200244,USAF,481,5000,gov_federal,agency default (USAF),"F-35A Wing Beddown at Tyndall AFB and MQ-9 Wing Beddown at Tyndall AFB or Vandenberg AFB, Review [[Page 78324]] Period Ends: 01/04/2021, Contact: Nolan Swick 210-925-3392."
2020,20200251,USCG,9281,0,gov_federal,agency default (USCG),"ADOPTION--Mariana Islands Training and Testing Final EIS-OEIS, Contact: Maile Norman 808-535-3264. The United States Coast Guard (USCG) has adopted the United States Navy Final"
2020,20200253,BR,2213,100,gov_federal,agency default (BR),Paradox Valley Unit of the Colorado River Basin Salinity Control Program
2020,20200254,USFS,713,50,private,agency default (USFS),Snow King Mountain Resort On- Mountain Improvements
2020,20200011,USAF,2211,2000,private,title hint: private extractive/energy,Environmental Impact Statement/ Environmental Impact Report for the Edwards AFB Solar Project
2020,20200148,USACE,212,5000,private,override: Moapa Solar utility-scale,Pebble Mine
2020,20200158,BPA,999,0,gov_federal,agency default (BPA),"USACE, OR, Columbia River System Operations"
2020,20200043,USACE,2213,1700,gov_federal,agency default (USACE),Fire Island Inlet to Montauk Point Reformulation Study
2020,20200074,BLM,212,672,private,agency default (BLM),Ambler Road Final Environmental Impact Statement
2020,20200166,BLM,211,7000,private,agency default (BLM),Willow Master Development Plan Final Environmental Impact [[Page 49650]] Statement
2021,20210005,USFS,212,7000,private,agency default (USFS),Resolution Copper Project and Land Exchange
2021,20210008,BLM,2211,550,private,agency default (BLM),"Crimson Solar Project Final Environmental Impact Statement and Proposed Land Use Amendment to the California Desert Conservation Area Plan, Review Period Ends: 02/22/ 2021, Contact: Miriam Liberatore 541-618-2200."
2021,20210009,FTA,482,3000,gov_state_local,agency default (FTA),"King of Prussia Rail Extension Project, Contact: Tim Lidiak 215-656-7084. Under 23 U.S.C. 139(n)(2), FTA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
2021,20210018,BLM,2211,0,private,agency default (BLM),"Crimson Solar Project Final Environmental Impact Statement and Proposed Land Use Amendment to the California Desert Conservation Area Plan, Review Period Ends: 03/15/ 2021, Contact: Miriam Liberatore 951-697-5200. Amended Notice"
2021,20210027,USACE,237310,180,gov_state_local,title hint: highway (state DOT pays),U.S. Highway 275 West Point to Scribner Expressway
